clause_id;policy;text;ground_truth_ambiguous;predicted_ambiguous
11;zomato;"We expressly reserve the right to combine information obtained from any third-party sources with the information we collect directly from you or automatically through your use of our Services. This combined information is used to update, expand, and analyze our records, identify potential new customers, provide tailored advertising and experiences, improve our Services, and for other purposes described in this policy";1;0
12;zomato;"We primarily collect your data to provide you the Services that you opt for. Our Services are backed by a wide array of supporting services that directly or indirectly improve the Services offered to you. We use the information we collect from and about you for a variety of purposes, including to";1;0
13;zomato;"Computer and device information: Information about your computer, internet connection and mobile device, including your IP address, operating systems, platforms, browser type, other browsing information (connection, speed, connection type etc.), device type, device's unique device identifier, mobile network information and the device's telephone number. We may also collect your unique mobile device identifier (e.g. IDFA or other device IDs on Apple devices like the iPhone and iPad). If you're using our Services on a mobile device, we may use mobile device IDs (the unique identifier assigned to a device by the manufacturer), instead of cookies, to recognize you. We may do this to store your preferences and track your use of our applications. Unlike cookies, mobile device IDs cannot be deleted. Stored information and files: Our applications may also access metadata and other information associated with files stored on your mobile device. This may include, for example, photographs, audio and video clips, personal contacts and address book information";1;1
14;zomato;"Social Features: To enhance your experience and enable social features on our Services, such as finding friends or sharing recommendations, you may choose to provide us with information from your device's address book. We may use this information to help identify your contacts who are also users of our Services, to facilitate connections and recommendations between you and your contacts on the platform, and potentially to inform you about relevant activity of your contacts on the Services";1;0
15;zomato;"With your consent; We may additionally share your information with third parties in any other circumstances where we have your consent to do so";1;0
16;zomato;"To contractors, suppliers, advertisers/service providers who are typically bound by contractual obligations to keep personal information confidential and use it only for the purposes for which we disclose it to them";0;1
17;zomato;"Eternal may process and retain your personal information on its servers in India where its data centers are located, and/or on the servers of its third parties (in or outside India), having contractual relationships with Eternal";1;1
18;zomato;"Security: How we protect your information\nWe have implemented appropriate physical, electronic, and managerial procedures to safeguard and help prevent unauthorized access to your information and to maintain data security. These safeguards take into account the sensitivity of the information that we collect, process and store and the current state of technology. We follow generally accepted industry standards to protect the personal information submitted to us, both during transmission and once we receive it. The third party service providers providing payment gateway and payment processing services are all validated as compliant with the payment card industry standard (generally referred to as PCI compliant service providers)";0;1
19;zomato;"If the information or material you request relates to existing or anticipated legal proceedings between you and us, or providing access to you would prejudice negotiations between us or an investigation of possible unlawful activity. Your right to review, update, correct, and delete your information is subject to our records retention policies and applicable law, including any statutory retention requirements";1;0
20;zomato;"Legal Purposes. We may share your information when we believe in good faith that such sharing is reasonably necessary in order to investigate, prevent, or take action regarding possible illegal activities or to comply with legal processes. This may involve the sharing of your information with law enforcement, government agencies, courts, and/or other organizations on account of legal requests such as notices, summons, court order or government demand to comply with applicable laws";1;1
