clause,label
"Examples include fulfilling orders for products or services, delivering packages, sending postal mail and e-mail, removing repetitive information from customer lists, analyzing data, providing marketing assistance, providing search results and links (including paid listings and links), processing payments, transmitting content, scoring, assessing and managing credit risk, and providing customer service.,",0
"These third-party service providers have access to personal information needed to perform their functions, but may not use it for other purposes.,",0
"Further, they must process the personal information in accordance with applicable law.,",0
"Business Transfers,",0
"As we continue to develop our business, we might sell or buy other businesses or services.,",1
"In such transactions, customer information generally is one of the transferred business assets but remains subject to the promises made in any pre-existing Privacy Notice (unless, of course, the customer consents otherwise).,",1
"Also, in the unlikely event that Amazon.com, Inc.,",0
"or Amazon Seller Services Private Limited or any of its affiliates, or substantially all of their assets are acquired, customer information will of course be one of the transferred assets.,",0
"Protection of Amazon and Others,",0
"We release account and other personal information when we believe release is appropriate to comply with the law,",0
"enforce or apply our Conditions of Use and other agreements,",0
"or protect the rights, property, or safety of Amazon, our users, or others.,",0
"This includes exchanging information with other companies and organizations for fraud protection and credit risk reduction.,",0
"Other than as set out above, you will receive notice when personal information about you might be shared with third parties, and you will have an opportunity to choose not to share the information.,",0
"We design our systems with your security and privacy in mind.,",0
"We work to protect the security of your personal information during transmission by using encryption protocols and software.,",0
"We follow the Payment Card Industry Data Security Standard (PCI DSS) when handling payment card data.,",0
"We maintain physical, electronic, and procedural safeguards in connection with the collection, storage, processing, and disclosure of personal customer information.,",0
"Our security procedures mean that we may occasionally request proof of identity before we disclose personal information to you.,",1
"Our devices offer security features to protect them against unauthorized access and loss of data.,",0
"You can control these features and configure them based on your needs.,",0
"Click here for more information on how to manage the security settings of your device.,",0
"It is important for you to protect against unauthorized access to your password and to your computers, devices and applications.,",0
"Be sure to sign off when finished using a shared computer.,",0
"Click here for more information on how to sign off.,",0
"Third-Party Advertisers and Links to Other Websites,",0
"Amazon Services may include third-party advertising and links to other websites and apps.,",0
"Third-party advertising partners may collect information about you when you interact with their content, advertising, and services.,",1
"For more information about third-party advertising at Amazon, including interest-based ads, please read our Interest-Based Ads policy.,",0
"To adjust your advertising preferences, please go to the Advertising Preferences page.,",0
"We provide ad companies with information that allows them to serve you with more useful and relevant Amazon ads and to measure their effectiveness.,",0
"We never share your name or other information that directly identifies you when we do this.,",0
"Instead, we use an advertising identifier like a cookie, a device identifier, or a code derived from applying irreversible cryptography to other information like an email address.,",0
"For example, if you have already downloaded one of our apps, we will share your advertising identifier and data about that event so that you will not be served an ad to download the app again.,",0
"While we do not share your specific shopping actions like purchases, product views, or searches with ad companies, we may share an advertising identifier and an estimate of the value of the ads they show you on our behalf so they can serve you with more effective Amazon ads.,",1
"Some ad companies also use this information to serve you relevant ads from other advertisers.,",0
"You can learn more about how to opt-out of interest-based advertising by going to the Advertising Preferences page.,",0
"You can access your information, including your name, address, payment options, profile information, Prime membership, household settings, and purchase history in the ""Your Account"" section of the website or mobile application.,",0
"Click here for a list of examples that you can access.,",0
"To request access to personal information that is not available through Your Account you can submit a request here.,",0
"If you have any questions as to how we collect and use your personal information, please contact our Grievance Officer.,",0
"Many of our Amazon Services also include settings that provide you with options as to how your information is being used  As described above, you can always choose not to provide certain information, but then you might not be able to take advantage of many of the Amazon Services.,",0
"When you update information, we usually keep a copy of the prior version for our records If you do not want to receive e-mail or other communications from us, please adjust your Customer Communication Preferences.,",0
"If you don't want to receive in-app notifications from us, please adjust your notification settings in the app or device If you do not want to see interest-based ads, please adjust your Advertising Preferences.,",0
"This includes, but is not limited to, information about your internet connection, the specific device(s) and equipment you use to access our Services, and details about your usage patterns and interactions with the Services.,",1
"You may optionally provide us with this information through third-party sign-in services such as Facebook and Google.,",0
"In such cases, we fetch and store whatever information is made available to us through these sign-in services.,",1
"Information you provide through our Services, including your reviews, photographs, comments, lists, followers, the users you follow, current and prior restaurant reservation details, food ordering details and history, favourite restaurants, special restaurant requests, contact information of people and other information you provide on our Services, and other information in your account profile.By providing information of a third-party individual (such as for placing orders on behalf of someone else) you confirm that you have such individual's consent to share their personal information with Eternal.,",0
"This includes details related to events you book, attend, or express interest in via our Services (such as District), including ticket types, seat preferences, attendance confirmations, event feedback, specific event-related preferences (e.g., accessibility needs volunteered by you), and any information shared when interacting with event organizers or venues through our platform.,",0
"We may also record dietary preferences or restrictions, cuisine preferences, preferred price points, occasion types (e.g., birthday, anniversary) and any data you input or actions you take while interacting with specific features, such as providing travel details (such as train PNR), event booking data, loyalty program participation, or preferences selected within any Service.,",0
"Communications between you and other users, delivery partners or merchants through our Services, some of which may be recorded for internal purposes,",1
"your participation in a survey, poll, sweepstakes, contest or promotion scheme,",0
"If you exchange messages with others through the Services, we may store them in order to process and deliver them, allow you to manage them, and investigate possible violations of our Terms of Service and wrongdoing in connection with the Services.,",1
"If you send information from the Services to your mobile device via SMS text message, we may log your phone number, phone carrier, and the date and time that the message was processed.,",1
"Carriers may charge recipients for texts that they receive.,",1
"If you make reservations or purchases through our Services, we may collect and store information about you to process your requests and automatically complete forms for future transactions, including (but not limited to) your phone number, address, email, billing information and credit or payment card information.,",1
"This information may be shared with third-parties which assist in processing and fulfilling your requests, including PCI compliant payment gateway processors.,",1
"If you write reviews about businesses with which you conduct transactions through our Services, we may publicly display information that you transacted with those businesses.,",1
"You may also provide information (such as ratings, reviews, tips, photos, comments, likes, bookmarks, friends, lists, etc.) to be published or displayed on publicly accessible areas of our Services, or transmitted to other users of our Services or third-parties (collectively, ""User Contributions"").,",0
"We may display this information on the Services, share it with businesses, and further distribute it to a wider audience through third party sites and services.,",1
"We may collect and process images and video recordings of individuals attending events or visiting our office premises for security and safety purposes.,",1
"We may also collect photographs or videos during events for promotional or documentation purposes.,",1
"If you choose to utilise any of our services which require uploading of your contact book, then we will collect and process such information as well, which could include the name and phone number of contacts stored on your device(s).,",1
"This includes, without limitation, any information you provide in response to surveys, feedback requests, promotional offers, contests, user research studies, beta testing programs, or when utilizing any new or optional features we may introduce.,",0
"We may share your information with third party service providers that we use for a variety of purposes, such as to send you communications via emails, messages or tele-call to inform you about our products and Services that may be of interest to you, push notifications to your mobile device on our behalf, provide voice recognition services to process your spoken queries and questions, help us analyze use of our Services, and process and collect payments.,",1
"We may also use third party service providers for other projects, such as conducting surveys, organizing sweepstakes or providing services and business / commercial solutions for us whether permanently or on an ad hoc basis.,",1
"We may also share your information to investigate and address threats or potential threats to the safety of any person, to investigate and address violations of this Privacy Policy or the Terms of Service, or to investigate and address violations of the rights of third parties and/or to protect the rights, property and safety of Eternal, our employees, other users, or the public.,",1
"We may also share information with internal and external audit teams and various stakeholders across our ecosystem, including affiliated entities, payment gateways, banks and other financial entities for fraud detection, prevention, mitigation, auditing and assurance purposes.,",1
"We may additionally share your information with third parties in any other circumstances where we have your consent to do so.,",1
"To use certain aspects of our Services, such as to make reservations at certain restaurants and to make payments to certain restaurants, we may require your credit or debit card account information.,",1
"As explained in our Terms of Service, these third parties may store your credit or debit card account information so you can use such payment services in the future.,",0
"Once you have requested for deletion of the data associated with your account, we will not be able to restore your account or any of its associated data to you.,",0
"Copies and backups of your personal information may continue to remain in our backup storage used for recovery in case of contingencies, as well as for enforcing our legal rights and fraud / risk mitigation purposes.,",1
"Your rights regarding your personal information may be limited, subject to the law of your jurisdiction, particularly,",1
"This may include, without limitation, individuals providing delivery, logistics, fulfillment, procurement support, or other operational services.,",0
"Age, sex, date of birth, marital status, nationality, details of government identification documents provided, occupation, ethnicity, religion, travel history, or any other personal information provided in responses to surveys or questionnaires.,",0
"Payment instrument information through our application pages , you may choose a 3 rd payment service provider of your choice for making payment and may agree to store your payment instrument details with the chosen service provider/s.,",0
"We use cookies, pixels and similar technologies to receive and store certain types of information whenever you interact with us.,",1
"We receive and store certain types of information when you interact with third-party websites that use our technology or with whom we have a specific agreement.,",1
"We may obtain information from other sources.,",1
"For example, you may want to access, edit or remove your Data on our website or mobile application.,",0
"When you are asked to provide Data, you may decline, however, in such a case, you may not be able to avail benefit of some of our products, programmes or services or access our stores or physical premises.,",0
"We may collect your Data automatically via Cookies, pixels and similar technologies in line with settings on your browser.,",1
"processing, disclosing, transmitting, and/or sharing the Data with Tata Group Entities, and other third parties which have business or contractual dealings with us for any legitimate purpose/use and in terms of this Privacy Notice,",1
"and serve other purposes for which we provide specific notice at the time of collection, and as otherwise authorized or required by applicable law.,",1
"or for such other purpose as is permissible under applicable law We may make broader use of anonymized personal information from which individuals cannot be identified.,",1
"We may make available to you services, products, or applications provided by Partners for use on or through our website or mobile application.,",0
"If you choose to use such service, customer information related to those transactions may be shared with such Partner.,",1
"We may also share your Data with the Tata Group Entities as is relevant for the purposes set out in Clause 7 above, and to facilitate the operation of our business.,",1
"We or other Tata Group Entities may share your Data with Service Providers.,",1
"We may release Data when we believe release is appropriate to comply with applicable law or legal process, enforce or apply the Terms of Use of our website or mobile application and other agreements, protect IRCPL against harm or financial loss, when we believe disclosure is necessary to protect individuals vital interests, or in connection with an investigation of suspected or actual fraudulent or illegal activity.,",1
"Your Data (including in relation to loyalty programs) may be transferred as part of such transaction or in the course of exploratory activities related thereto, including due diligence and audit exercises.,",1
"RETENTION OF DATA  IRCPL retains Data for as long as necessary for the use of our products and/or services or to provide access to and use of our website or mobile application, or for reasonable purposes such as complying with our legal obligations, resolving disputes, enforcing our agreements or as otherwise stated in this Privacy Notice, and for such periods or purposes as are permitted under applicable law,.,",1
"Because these needs can vary for different data types and purposes, actual retention periods can vary significantly.,",1
"Even if we delete your Data, including on account of exercise of your right under Clause 12 below, it may, subject to applicable law, persist on backup or archival media for audit, legal, tax or regulatory purposes.,",1
"When we process Data about you, we do so with your consent and/or as necessary to operate our business, meet our contractual and legal obligations, protect the security of our systems and our customers, or fulfil other legitimate interests of IRCPL as described in this Privacy Notice.,",0
"Depending on which Data Protection Laws are applicable to you, you may have the right or choice to,",1
"Right to Data Portability - the right to request that we move, copy or transfer your Data.,",0
"Subject to applicable law, we may at our sole discretion, transfer Data, including SPDI to any other third party that agrees to ensure the same level of data protection as is provided by us under the terms hereof, located outside India.,",1
"For the purpose of checking possible vulnerabilities and attacks, IRCPL may conduct periodical internal review of data and security measures.,",0
"You are solely responsible for the activities that occur under your account including the confidentiality of your password and IRCPL is not responsible for the same.,",0
"The information we learn and gather from you, personal or otherwise, is used to register you, verify your identity to permit you to use the app, undertake transactions (including to facilitate and process payments), communicate with you,convey any promotional offers, services or updates associated with NYKAA, and generally maintain your accounts with us.,",0
"For example, like many websites, we use ""cookies,"" and we obtain certain types of information when your web browser accesses our Services.,",1
"We receive and store certain types of information whenever you interact with us.,",1
"We might receive information about you from other sources, such as updated delivery and address information from our carriers, which we use to correct our records and deliver your next purchase more easily.,",1
"Online Identifiers and other Technical Data  Location details such as data we get about your location, IP address, logs, or from where you connect a computer to the internet Technical details such as device information, location and network carrier when you use our mobile applications Communications details such as the Metadata and other Personal Information we get from communications done through e-mails, SMS, instant messages and calls Usage data details such as data about how you use our Platform or web-based properties, pages viewed, etc.,",1
"Advertising  We use your personal information to display interest-based ads for features, products, and services that might be of interest to you.,",0
"We may share your personal data with select third parties, group companies for the below purposes including but not limited to,",1
"We may disclose your Personal Information to others where it is lawful to do so including where we or they,",1
"We may disclose your Personal Information for the above purposes to other parties including,",1
"Other group companies and any subcontractors, agents or service providers who work for us or provide services to us or group companies (including their employees, sub-contractors, service providers, directors and officers) Law Enforcement Authorities, Government Authorities, courts, dispute resolution bodies, our regulators, auditors and any party appointed or requested by our regulators to carry out investigations or audits of our activities Statutory and regulatory bodies and authorities (including the government) investigating agencies and entities or persons, to whom or before whom it is mandatory to disclose the Personal Information as per the applicable law, courts, judicial and quasi-judicial authorities and tribunals, arbitrators and arbitration tribunals Overseas regulators Anybody else that we've been instructed to share your Personal Information with by you Cross-Border Data Transfer Personal Information we hold about you may be transferred to other countries outside your residential country for any of the purposes described in this Privacy Policy.,",1
"Retention and Disposal of Data We keep the Personal Information we collect about you on our systems or with third parties for as long as it is required for the purposes set out in this Privacy Policy and for legal or regulatory reasons.,",1
"We may also use such cookies to display any advertisement(s) to you while you are on the Website orto send you offers (or similar emails provided you have not opted out of receiving such emails) focusing on products which may be of your interest.,",1
"Session data may consist of various aspects like the IP address, operating system and type of browser software being used and the activities done by the User on the Website / Mobile application.,",1
"However,it may be possible to determine a User's Internet Service Provider (ISP), and the approximate geographic location of User's point of connectivity through the above session data.,",1
"Information which you provide while subscribing to or registering on the Website / mobile application, including but not limited to the information about your personal identity such as name, gender, marital status, age or Date of birth, Nationality etc., your contact details such as your email address, complete postal addresses, contact number etc.,",1
"Information pertaining to any other traveller(s) for who you make a booking through your registered IRCTC account.,",0
"IRCTC will retain your Personal Information on its servers for as long as is reasonably necessary for the purposes listed in this policy.,",1
"In some circumstances we may retain your Personal Information for longer periods of time, for instance where we are required to do so in accordance with any legal, regulatory, tax or accounting requirements.,",1
"To improve personalization experience and service efficiency, we may, under controlled and secure circumstances, share your Personal Information with our affiliate or associate entities.,",1
"Such disclosure and storage may take place without your knowledge.,",1
"You may provide certain information to Us voluntarily while registering on the Platform for availing services including but not limited to Your complete name, mobile number, email address, date of birth, gender, age, address details, KYC related information such as Permanent Account Number (PAN), passport, driving licence, the voters identity card issued by the Election Commission of India, or any other document recognized by the Government for identification, income details, Your business or professional details, videos or other online/ offline verification documents as mandated by relevant regulatory authorities, Your health and lifestyle related information and any other information voluntarily provided through the Platform, together with Your internet protocol address, web request, operating system, browser type, other browsing information (connection, speed, connection type etc.), device type, the devices telephone number (Personal Information).,",1
"Provided that, any information that is freely available or accessible in public domain or furnished under the Right to Information Act, 2005 or any other law for the time being in force shall not be regarded as Personal Information or Sensitive Personal Information.,",0
"You may also be asked to provide certain additional information about Yourself on a case to case basis.,",1
"When and if You download and/or use the Platform through Your mobile, tablet, and/or any other computer sources or electronic devices, We may receive information about Your location, Your IP address, internet bandwidth, mobile device model, browser plug-ins including a unique identifier number for Your device.,",1
"If You permit the Platform to access Your location through the permission system used by Your device operating system, the precise location of Your device when the Platform is running in the foreground or background may be collected.,",1
"We may also collect certain non-personal information, such as URL, internet service provider, aggregate user data, software and hardware attributes, the URL of the previous website visited by You, list of third-party applications being used by You, pages You request, and cookie information, etc.,",1
"We may automatically track certain information about You based upon Your behaviour on the Platform.,",1
"If You send Us correspondence, such as emails or letters, or if other users or third parties send Us correspondence about Your activities or postings on the Platform, We may collect and retain such information into a file specific to You for responding to Your request and addressing concerns in relation to Your use of the Platform.,",1
"We shall be entitled to retain Your Personal Information and other information for such duration as may be required for the purposes specified hereunder and will be used only in accordance with this Privacy Notice  e.,",1
"We may obtain information You voluntarily share with Us through interactions on Our social media channels, participation in surveys or by submission of feedback.,",1
"Through these engagements and in order to provide the services You have accessed on Our Platform, We may also gain insights into certain Personal Information, such as Your preferences for Products and services.,",1
"In accordance with applicable laws, We may monitor or record Your phone conversations or chats for training, customer service enhancement, legal compliance or to establish and defend legal claims.,",1
"We may disclose Your Personal Information to third party Sellers, service providers, merchants, delivery partners, marketing or advertising partners, consultants, partners for carrying out research and other service providers who work for either of Us or provide services through the Platform.,",1
"While We may share Your Personal Information and Sensitive Personal Information with third parties, including regulatory bodies, governmental authorities and financial institutions, We are committed to enforcing equal or more stringent privacy protection obligations with these third parties, wherever applicable and feasible.,",1
"We maintain records of Your Personal Information only till such time it is required for the Purposes, or for as long as required by applicable law.,",1
"When You request Us to erase Your information, We will honour the said request, but We may retain certain information about You for the purposes authorized under this Privacy Notice unless prohibited by law.,",1
"The Platform may link You to other third - party platforms (Third - Party Sites) that may collect Your Personal Information including Your IP address, browser specification, or operating system.,",1
"We may use third-party advertising entities to serve ads when You visit the Platform.,",1
"Your Personal Information may also appear in online searches.,",1
"You may review, correct, complete, upgrade, erase, update and change the information that You have provided to Us, at any point by making changes on the mobile application Home page ->Settings Icon -> Profile.,",1
